Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774089607,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1774089608,10,,Aggregated,0.000000,0.000000,300,310,310,310,310,310,310,310,310,310,310,10,0,300.0,293.51749271154404,253.5326648503542,311.9042329490185,6.0
1774089609,20,,Aggregated,0.000000,0.000000,280,290,300,300,310,310,310,310,310,310,310,24,0,280.0,244.43853980240723,45.52200995385647,311.9042329490185,6.0
1774089610,30,,Aggregated,0.000000,0.000000,280,300,300,310,310,310,330,330,330,330,330,41,0,280.0,231.5774030710866,45.52200995385647,328.3411767333746,6.0
1774089611,40,,Aggregated,5.000000,0.000000,270,290,300,310,310,330,340,340,340,340,340,63,0,270.0,222.27983300884566,45.068394392728806,340.50008468329906,6.0
1774089612,50,,Aggregated,8.000000,0.000000,270,300,310,310,340,380,400,410,410,410,410,90,0,270.0,221.82509710805283,43.893685564398766,410.10712645947933,6.0
1774089613,60,,Aggregated,10.500000,0.000000,240,290,310,310,330,380,400,400,410,410,410,128,0,240.0,195.07576929754578,43.893685564398766,410.10712645947933,6.0
1774089614,70,,Aggregated,12.800000,0.000000,240,290,310,320,360,400,420,440,450,450,450,163,0,240.0,201.50570925667972,43.893685564398766,454.01040837168694,6.0
1774089615,80,,Aggregated,15.333333,0.000000,240,300,320,330,400,420,470,470,480,480,480,196,0,240.0,210.23347590840896,42.85252094268799,480.25096394121647,6.0
1774089616,90,,Aggregated,18.428571,0.000000,270,320,350,380,440,500,540,620,770,770,770,228,0,270.0,244.51729843981173,42.85252094268799,768.456906080246,6.0
1774089617,100,,Aggregated,20.500000,0.000000,300,350,410,450,620,780,940,1200,1500,1500,1500,264,1,300.0,309.0690072188436,42.85252094268799,1463.0087465047836,5.992424242424242
1774089618,100,,Aggregated,21.777778,0.000000,320,410,480,540,740,890,1200,1500,1800,1800,1800,320,1,310.0,366.6695515916217,42.85252094268799,1776.4332797378302,5.99375
1774089619,100,,Aggregated,23.100000,0.100000,300,370,440,500,710,830,1200,1500,1800,1800,1800,368,1,290.0,326.3257080891534,42.85252094268799,1776.4332797378302,5.994565217391305
1774089620,100,,Aggregated,27.200000,0.100000,260,340,420,470,670,790,1200,1400,1800,1800,1800,412,1,260.0,297.539813276742,42.85252094268799,1776.4332797378302,5.995145631067961
1774089621,100,,Aggregated,31.600000,0.100000,200,320,400,440,650,790,1100,1400,1800,1800,1800,458,1,200.0,274.0150165406572,42.85252094268799,1776.4332797378302,5.995633187772926
1774089622,100,,Aggregated,34.800000,0.100000,180,310,380,430,650,780,1100,1400,1800,1800,1800,497,1,180.0,263.7904151014879,42.85252094268799,1776.4332797378302,5.9959758551307845
1774089623,100,,Aggregated,37.800000,0.100000,200,310,370,420,610,770,1000,1400,1800,1800,1800,550,2,200.0,263.67754626003176,10.868778452277184,1776.4332797378302,6.181818181818182
1774089624,100,,Aggregated,39.800000,0.100000,160,300,350,400,570,760,1000,1400,1800,1800,1800,600,2,150.0,248.13927543660006,10.868778452277184,1776.4332797378302,6.166666666666667
1774089625,100,,Aggregated,40.700000,0.100000,100,280,330,390,540,730,1000,1200,1800,1800,1800,645,2,100.0,234.9984299247117,10.868778452277184,1776.4332797378302,6.155038759689923
1774089626,100,,Aggregated,43.000000,0.200000,90,260,320,370,520,720,990,1200,1800,1800,1800,691,2,90,225.36319344103683,10.868778452277184,1776.4332797378302,6.144717800289436
1774089627,100,,Aggregated,43.600000,0.200000,80,240,310,350,510,710,940,1200,1800,1800,1800,737,2,80,215.92646662090252,10.868778452277184,1776.4332797378302,6.135685210312076
1774089628,100,,Aggregated,45.200000,0.200000,96,270,330,380,510,700,890,1200,1800,1800,1800,780,2,95,225.18709178011005,10.868778452277184,1776.4332797378302,6.128205128205129
1774089629,100,,Aggregated,46.500000,0.100000,110,270,330,380,500,670,830,1200,1800,1800,1800,818,2,110.0,225.37569577343453,10.868778452277184,1776.4332797378302,6.1222493887530565
1774089630,100,,Aggregated,46.800000,0.100000,110,260,320,370,490,660,830,1200,1800,1800,1800,875,2,110.0,220.41840766370296,10.868778452277184,1776.4332797378302,6.114285714285714
1774089631,100,,Aggregated,46.200000,0.100000,90,240,310,360,480,650,830,1100,1800,1800,1800,921,2,90,212.31454387347614,10.868778452277184,1776.4332797378302,6.1085776330076005
1774089632,100,,Aggregated,44.900000,0.100000,78,230,310,350,470,650,810,1100,1800,1800,1800,971,2,78,204.33447721973445,10.868778452277184,1776.4332797378302,6.102986611740474
1774089633,100,,Aggregated,45.600000,0.100000,74,210,300,340,460,650,790,1000,1600,1800,1800,1012,2,73,198.42674862593412,10.868778452277184,1776.4332797378302,6.098814229249012
1774089634,100,,Aggregated,46.400000,0.100000,72,190,290,330,450,610,790,1000,1600,1800,1800,1067,2,72,191.59655919736696,10.868778452277184,1776.4332797378302,6.093720712277413
1774089635,100,,Aggregated,47.500000,0.100000,70,180,280,320,440,610,790,1000,1600,1800,1800,1108,2,70,186.56192457182365,10.868778452277184,1776.4332797378302,6.090252707581228
1774089636,100,,Aggregated,45.500000,0.000000,69,180,270,310,440,590,790,1000,1600,1800,1800,1159,2,69,183.05642822816827,10.868778452277184,1776.4332797378302,6.086281276962899
1774089637,100,,Aggregated,47.300000,0.000000,69,170,260,310,440,590,790,1000,1600,1800,1800,1197,2,69,180.2827261898701,10.868778452277184,1776.4332797378302,6.083542188805347
1774089638,100,,Aggregated,46.200000,0.000000,70,190,280,320,450,610,790,1000,1600,1800,1800,1228,2,70,187.81229614277132,10.868778452277184,1776.4332797378302,6.0814332247557
1774089639,100,,Aggregated,46.600000,0.000000,73,210,310,360,520,710,840,1200,1600,1800,1800,1280,2,73,208.015538410109,10.868778452277184,1776.4332797378302,6.078125
1774089640,100,,Aggregated,45.900000,0.000000,74,220,310,360,520,710,890,1100,1600,1800,1800,1324,2,74,209.4839898970687,10.868778452277184,1776.4332797378302,6.075528700906345
1774089641,100,,Aggregated,44.200000,0.000000,73,200,300,350,520,700,870,1100,1600,1800,1800,1374,2,73,204.71470228639015,10.868778452277184,1776.4332797378302,6.07278020378457
1774089642,100,,Aggregated,46.300000,0.000000,74,200,300,340,510,680,840,1100,1600,1800,1800,1407,2,74,203.70390101361758,10.868778452277184,1776.4332797378302,6.0710732054015635
1774089643,100,,Aggregated,45.200000,0.000000,77,220,300,350,510,680,830,1100,1600,1800,1800,1457,3,77,207.53362203015598,10.868778452277184,1776.4332797378302,6.06726149622512
1774089644,100,,Aggregated,45.000000,0.000000,77,220,300,340,500,670,830,1100,1600,1800,1800,1503,3,77,205.3141052390406,10.868778452277184,1776.4332797378302,6.065202927478377
1774089645,100,,Aggregated,43.400000,0.100000,76,210,290,340,490,670,830,1100,1600,1800,1800,1555,3,76,201.32940764811454,10.868778452277184,1776.4332797378302,6.063022508038586
1774089646,100,,Aggregated,44.300000,0.100000,77,210,290,330,480,660,830,1100,1600,1800,1800,1597,3,77,201.42323783620418,10.868778452277184,1776.4332797378302,6.061365059486537
1774089647,100,,Aggregated,43.300000,0.100000,75,200,290,330,470,650,820,1000,1600,1800,1800,1654,3,75,197.74858053760127,10.868778452277184,1776.4332797378302,6.05925030229746
1774089648,100,,Aggregated,45.000000,0.100000,75,200,280,320,470,650,820,1000,1600,1800,1800,1689,3,75,196.10585881724663,10.868778452277184,1776.4332797378302,6.0580224985198345
1774089649,100,,Aggregated,43.600000,0.100000,77,220,300,340,500,670,830,1000,1600,1800,1800,1724,3,77,203.53984716726498,10.868778452277184,1776.4332797378302,6.056844547563805
1774089650,100,,Aggregated,45.500000,0.100000,80,240,310,360,540,720,890,1100,1700,1800,1800,1767,3,80,217.0662284087143,10.868778452277184,1776.4332797378302,6.055461233729485
1774089651,100,,Aggregated,45.900000,0.100000,86,250,320,390,610,750,920,1200,1800,1800,1800,1815,3,86,228.9206210205706,10.868778452277184,1778.5608284175396,6.053994490358127
1774089652,100,,Aggregated,44.200000,0.100000,90,250,330,390,590,740,920,1200,1800,1800,1800,1866,3,90,229.04823750900334,10.868778452277184,1778.5608284175396,6.052518756698821
1774089653,100,,Aggregated,44.400000,0.100000,82,240,320,380,590,730,910,1200,1800,1800,1800,1909,3,82,225.17102423346967,10.868778452277184,1778.5608284175396,6.051335777894185
1774089654,100,,Aggregated,43.900000,0.100000,82,240,320,370,580,730,910,1200,1800,1800,1800,1956,3,82,222.2499315025083,10.868778452277184,1778.5608284175396,6.050102249488752
1774089655,100,,Aggregated,45.800000,0.000000,79,230,310,370,570,730,900,1200,1700,1800,1800,2007,3,79,218.39996029246518,10.868778452277184,1778.5608284175396,6.048829098156452
1774089656,100,,Aggregated,45.200000,0.000000,80,230,310,370,560,720,900,1200,1700,1800,1800,2041,3,80,218.36855659596276,10.868778452277184,1778.5608284175396,6.048015678588927
1774089658,100,,Aggregated,44.800000,0.000000,83,240,320,380,560,720,890,1200,1700,1800,1800,2079,3,83,222.6871240798056,10.868778452277184,1778.5608284175396,6.047138047138047
1774089659,100,,Aggregated,44.800000,0.000000,91,250,340,390,580,730,900,1200,1700,1800,1800,2123,3,91,229.48357447441379,10.868778452277184,1778.5608284175396,6.046161092793217
1774089660,100,,Aggregated,44.300000,0.000000,91,260,340,400,580,730,910,1200,1700,1800,1800,2175,3,91,230.20402744241144,10.868778452277184,1778.5608284175396,6.045057471264368
1774089661,100,,Aggregated,42.400000,0.000000,90,250,340,390,580,720,900,1100,1700,1800,1800,2208,3,89,228.30949416822767,10.868778452277184,1778.5608284175396,6.044384057971015
1774089662,100,,Aggregated,43.400000,0.000000,98,260,350,400,580,720,910,1100,1700,1800,1800,2246,3,98,232.39723863187956,10.868778452277184,1778.5608284175396,6.0436331255565445
1774089663,100,,Aggregated,43.600000,0.000000,110,280,360,410,590,720,910,1100,1700,1800,1800,2290,3,110.0,236.86342196433304,10.868778452277184,1778.5608284175396,6.042794759825328
1774089664,100,,Aggregated,43.100000,0.000000,110,280,360,410,590,720,900,1100,1700,1800,1800,2339,3,110.0,236.12741134382304,10.868778452277184,1778.5608284175396,6.041898247114151
1774089665,100,,Aggregated,43.100000,0.000000,110,280,360,410,580,720,890,1100,1700,1800,1800,2366,3,110.0,236.7022979078737,10.868778452277184,1778.5608284175396,6.041420118343195
1774089666,100,,Aggregated,42.900000,0.000000,120,290,370,430,590,730,910,1100,1700,1800,1800,2404,3,120.0,242.06342876264313,10.868778452277184,1778.5608284175396,6.0407653910149754
1774089667,100,,Aggregated,42.900000,0.000000,130,300,380,440,610,740,920,1100,1700,1800,1800,2448,3,130.0,248.5815491527319,10.868778452277184,1778.5608284175396,6.040032679738562
1774089668,100,,Aggregated,39.500000,0.000000,140,300,390,440,610,740,930,1100,1700,1800,1800,2496,3,140.0,252.77124088890372,10.868778452277184,1778.5608284175396,6.03926282051282
1774089669,100,,Aggregated,40.700000,0.000000,130,300,390,440,610,740,930,1100,1700,1800,1800,2542,3,130.0,249.88503639390626,10.868778452277184,1778.5608284175396,6.038552321007081
1774089670,100,,Aggregated,41.700000,0.000000,140,300,390,440,610,740,920,1100,1700,1800,1800,2576,3,140.0,249.64689432718555,10.868778452277184,1778.5608284175396,6.038043478260869
1774089671,100,,Aggregated,41.800000,0.000000,150,310,400,440,610,740,920,1100,1700,1800,1800,2619,3,150.0,254.64178781861133,10.868778452277184,1778.5608284175396,6.03741886216113
1774089672,100,,Aggregated,39.900000,0.000000,160,310,400,450,610,740,920,1100,1700,1800,1800,2658,3,160.0,256.9851879194446,10.868778452277184,1778.5608284175396,6.036869826937547
1774089673,100,,Aggregated,40.800000,0.000000,170,320,410,450,610,740,920,1100,1700,1800,1800,2705,3,170.0,260.3995422166454,10.868778452277184,1778.5608284175396,6.036229205175601
1774089674,100,,Aggregated,41.100000,0.000000,180,320,400,450,610,740,920,1100,1700,1800,1800,2748,3,180.0,261.0327073019079,10.868778452277184,1778.5608284175396,6.035662299854439
1774089675,100,,Aggregated,41.400000,0.000000,180,320,400,450,610,740,910,1100,1700,1800,1800,2787,3,180.0,260.91896291256785,10.868778452277184,1778.5608284175396,6.035163257983495
1774089676,100,,Aggregated,40.600000,0.000000,190,320,410,460,610,740,910,1100,1700,1800,1800,2838,3,190.0,265.504252978084,10.868778452277184,1778.5608284175396,6.034531360112755
1774089677,100,,Aggregated,41.800000,0.000000,180,320,410,450,610,740,900,1100,1700,1800,1800,2880,3,180.0,262.6018797771798,10.868778452277184,1778.5608284175396,6.034027777777778
1774089678,100,,Aggregated,43.000000,0.000000,170,320,400,450,610,740,890,1100,1700,1800,1800,2930,3,170.0,259.18794413361024,10.868778452277184,1778.5608284175396,6.033447098976109
1774089679,100,,Aggregated,42.900000,0.000000,180,320,400,450,610,730,890,1100,1700,1800,1800,2958,3,180.0,259.7920672918914,10.868778452277184,1778.5608284175396,6.033130493576741
1774089680,100,,Aggregated,43.200000,0.000000,180,320,410,460,610,740,890,1100,1700,1800,1800,3006,3,180.0,263.6851343813929,10.868778452277184,1778.5608284175396,6.032601463739188
1774089681,100,,Aggregated,41.500000,0.000000,180,320,410,460,610,730,890,1100,1700,1800,1800,3062,3,180.0,263.54310029276945,10.868778452277184,1778.5608284175396,6.032005225342913
1774089682,100,,Aggregated,43.100000,0.000000,180,320,410,460,600,730,890,1100,1700,1800,1800,3103,3,180.0,261.0215854141027,10.868778452277184,1778.5608284175396,6.031582339671286
1774089683,100,,Aggregated,44.300000,0.000000,180,320,400,450,600,730,880,1100,1700,1800,1800,3151,3,180.0,259.23078813625875,10.868778452277184,1778.5608284175396,6.031101237702317
1774089684,100,,Aggregated,44.500000,0.000000,170,310,400,450,590,720,880,1100,1700,1800,1800,3199,3,170.0,256.21122328512706,10.868778452277184,1778.5608284175396,6.030634573304158
1774089685,100,,Aggregated,44.500000,0.000000,160,310,400,440,590,720,880,1100,1700,1800,1800,3247,3,160.0,253.2460098391474,10.868778452277184,1778.5608284175396,6.030181706190329
1774089686,100,,Aggregated,44.900000,0.000000,160,310,400,450,590,720,880,1100,1700,1800,1800,3271,3,160.0,254.34032781946482,10.868778452277184,1778.5608284175396,6.029960256802201
1774089687,100,,Aggregated,46.000000,0.000000,170,320,410,460,610,750,920,1100,1700,1800,1800,3310,3,170.0,261.3149916860092,10.868778452277184,1778.5608284175396,6.029607250755287
1774089688,100,,Aggregated,43.400000,0.000000,180,330,410,470,630,770,950,1200,1700,1800,1800,3356,3,180.0,269.1414293037179,10.868778452277184,1809.6353597939014,6.029201430274136
1774089689,100,,Aggregated,42.600000,0.000000,180,330,420,480,640,770,970,1200,1700,1800,1800,3400,3,180.0,272.19912055989397,10.868778452277184,1809.6353597939014,6.028823529411765
1774089690,100,,Aggregated,42.500000,0.000000,180,330,420,470,630,770,970,1100,1700,1800,1800,3449,3,180.0,270.52614876930784,10.868778452277184,1809.6353597939014,6.028414033053059
1774089691,100,,Aggregated,44.000000,0.000000,180,330,420,470,630,770,960,1100,1700,1800,1800,3473,3,180.0,270.74622080854164,10.868778452277184,1809.6353597939014,6.02821767923985
1774089692,100,,Aggregated,44.100000,0.000000,190,340,420,480,640,770,950,1100,1700,1800,1800,3530,3,190.0,273.9636809272275,10.868778452277184,1809.6353597939014,6.027762039660057
1774089693,100,,Aggregated,41.000000,0.000000,190,340,420,480,640,770,950,1100,1700,1800,1800,3578,3,190.0,274.39649236040236,10.868778452277184,1809.6353597939014,6.02738960313024
1774089694,100,,Aggregated,42.500000,0.000000,190,330,420,480,640,770,950,1100,1700,1800,1800,3618,3,190.0,272.4985692489454,10.868778452277184,1809.6353597939014,6.027086788280818
1774089695,100,,Aggregated,42.700000,0.000000,190,340,420,470,630,770,940,1100,1700,1800,1800,3651,3,190.0,273.1625029883036,10.868778452277184,1809.6353597939014,6.0268419611065465
1774089696,100,,Aggregated,42.000000,0.000000,200,340,430,490,640,770,950,1100,1700,1800,1800,3698,3,200.0,277.3463082856918,10.868778452277184,1809.6353597939014,6.026500811249324
1774089697,100,,Aggregated,40.500000,0.000000,200,340,430,490,640,770,940,1100,1700,1800,1800,3751,3,200.0,278.35745419547163,10.868778452277184,1809.6353597939014,6.02612636630232
1774089698,100,,Aggregated,42.400000,0.000000,200,340,430,480,640,760,940,1100,1700,1800,1800,3792,3,200.0,276.1393134538202,10.868778452277184,1809.6353597939014,6.02584388185654
1774089699,100,,Aggregated,43.700000,0.000000,200,340,420,480,640,760,940,1100,1700,1800,1800,3830,3,200.0,274.97249982190897,10.868778452277184,1809.6353597939014,6.025587467362924
1774089700,100,,Aggregated,43.700000,0.000000,200,340,430,490,640,760,940,1100,1700,1800,1800,3868,3,200.0,277.7198068884268,10.868778452277184,1809.6353597939014,6.025336091003102
